Property Name,Portfolio Manager ID,Property Type - Self-Selected,Gross Floor Area
Adelaide Resource Centre for Women,35000441,Other - Public Services,15888
Warren Park Sewage Pumping Station,35000422,Wastewater Treatment Plant,1
West Point Sewage Pumping Station,35000423,Wastewater Treatment Plant,1
Valleymede Sewage Pumping Stn,35000420,Wastewater Treatment Plant,1
Ward's Island Sewage Pumping Station,35000421,Wastewater Treatment Plant,1
Swansea Sewage Pumping Station,35000418,Wastewater Treatment Plant,527
Todmorden Mills Pumping Station,35000419,Wastewater Treatment Plant,1
Southport St Sewage Pumping Station,35000416,Wastewater Treatment Plant,1
Strachan Sewage Pumping Station,35000417,Wastewater Treatment Plant,1
101 Placer Court,35000430,Other - Public Services,19200
1155 King St W (Respite),35000431,Other - Public Services,9000
Main Treatment Plant,35000428,Wastewater Treatment Plant,378438
North Toronto Treatment Plant,35000429,Wastewater Treatment Plant,21786
Highland Creek Treatment Plant,35000426,Wastewater Treatment Plant,255395
Humber Treatment Plant,35000427,Wastewater Treatment Plant,224869
West Rouge Sewage Pumping Station,35000424,Wastewater Treatment Plant,3229
Wirral Crt Sewage Pumping Station,35000425,Wastewater Treatment Plant,1
668A The Queensway,35000470,Other - Public Services,1
705 Progress Ave (Library Storage),35000471,Other - Public Services,5001
5 Bartonville Ave,35000468,Other - Public Services,3606
545 Commissioners St,35000469,Other - Public Services,32679
4001 Kingston Rd,35000466,Other - Public Services,1
46A Chartway Blvd,35000467,Other - Public Services,1
2 Sheffield St,35000464,Other - Public Services,1
2200 Yonge St,35000465,Other - Public Services,1
Bering Yd - Garage (Bldg D),35000478,Other - Public Services,7589
Bering Yd - Maintenance (Bldg B),35000479,Other - Public Services,13401
Bering Truck Shelter,35000476,Other - Public Services,8633
Bering Yd - Admin (Bldg E),35000477,Other - Public Services,9698
Bentworth Park Yard - Bldg 1,35000474,Other - Public Services,5554
Bentworth Park Yard - Bldg 2,35000475,Other - Public Services,6330
Alliance Overhead Shop,35000472,Other - Public Services,34952
Alness Yard,35000473,Other - Public Services,25715
Homes First GSR Site,35000454,Other - Public Services,14634
Islington Seniors' Shelter,35000455,Other - Public Services,21328
GSR Transition Site (705 Progress),35000452,Other - Public Services,26730
GSR Transition Site (731 Runnymede Rd),35000453,Other - Public Services,19383
Fred Victor Respite,35000450,Other - Public Services,9000
GSR Transition Site (2299 Dundas),35000451,Other - Public Services,22648
Family Residence,35000448,Other - Public Services,39999
Fort York Residence,35000449,Other - Public Services,25995
150 Disco Rd,35000462,Other - Public Services,10570
1904 Brimley Rd.,35000463,Other - Public Services,301
Women's Residence,35000460,Other - Public Services,28255
YWCA Women's Shelter,35000461,Other - Public Services,17000
Seaton House,35000458,Other - Public Services,97995
Warden Woods Respite,35000459,Other - Public Services,7565
Robertson House,35000456,Other - Public Services,19795
Scarborough Village Residence,35000457,Other - Public Services,29870
Finch Yard,35000502,Other - Public Services,148198
Former PMMD Warehouse,35000503,Other - Public Services,22604
Ellesmere Yard,35000500,Other - Public Services,138069
Emery Parks Yard,35000501,Other - Public Services,18998
Eastern Ave Yard - Office,35000498,Other - Public Services,84701
Eglinton Flats Service Building,35000499,Other - Public Services,5705
Dufferin Maintenance Yard,35000496,Other - Public Services,31667
Eastern Ave Yard  - Equipment Shop,35000497,Other - Public Services,9698
Kipling Yard - Toronto Water,35000510,Other - Public Services,11001
Leslie Barns,35000511,Other - Public Services,279862
Kipling & Steeles,35000508,Other - Public Services,1
Kipling Yard - PF&R,35000509,Other - Public Services,27373
Joel Weeks Park - Storage Bldg,35000506,Other - Public Services,183
King St Yard,35000507,Other - Public Services,83485
Hamilton Street Yard,35000504,Other - Public Services,2756
Ingram Yard,35000505,Other - Public Services,23907
Brimley Parks Yard,35000486,Other - Public Services,2809
Caledonia Road Service Yard,35000487,Other - Public Services,1981
Birchmount Park Yard,35000484,Other - Public Services,15317
Booth Avenue Yard,35000485,Other - Public Services,236645
Bermondsey Yard - SWM,35000482,Other - Public Services,66155
Bermondsey Yard - Transportation,35000483,Other - Public Services,4618
Bering Yd - Storage (Bldg F),35000480,Other - Public Services,9881
Bering Yd - Warehouse (Bldg A),35000481,Other - Public Services,4596
Disco Yd Bldg C- Vehicle Maint,35000494,Other - Public Services,22959
Disco Yd Bldg D- North Garage,35000495,Other - Public Services,24445
Disco Yd Bldg A- Employee Bldg,35000492,Other - Public Services,7998
Disco Yd Bldg B- South Garage,35000493,Other - Public Services,28029
Danforth Carhouse & Garage,35000490,Other - Public Services,62834
Disco Blower Station,35000491,Other - Public Services,37975
Castlefield Yard,35000488,Other - Public Services,36447
Centennial Park Service Building,35000489,Other - Public Services,1023
Toryork Yard,35000534,Other - Public Services,26404
Train Storage Building,35000535,Other - Public Services,30849
Toronto Island Service Yard,35000533,Other - Public Services,34724
Russell Carhouse,35000530,Other - Public Services,232619
Sixth St Garage,35000531,Other - Public Services,6997
Property Operation Garage,35000528,Other - Public Services,12034
Rockcliffe Yard,35000529,Other - Public Services,14047
Bloor Islington Storm Pumping Station,35000542,Other - Public Services,355
Eglinton-Bellamy Storm Pumping Station,35000543,Other - Public Services,441
Yonge Street Yard,35000540,Other - Public Services,20247
Battery Park Storm Pumping Station,35000541,Other - Public Services,1
Whitlam Warehouse,35000538,Other - Public Services,24865
Winter Maintenance Depot,35000539,Other - Public Services,12152
Wellington Yard & Office,35000536,Other - Public Services,2164
Western Yard (Obico),35000537,Other - Public Services,1
Morningside Yard,35000518,Other - Public Services,14779
Mt. Dennis Bus Garage,35000519,Other - Public Services,710493
Merton Yard & Sprint Office,35000517,Other - Public Services,32044
Maintenance Yard #7,35000514,Other - Public Services,11862
Marylin Bell Park Water Equipment Shed,35000515,Other - Public Services,700
Leslie Yard,35000512,Other - Public Services,6135
Maintenance Yard #5,35000513,Other - Public Services,7524
Oriole Yard (PF&R),35000526,Other - Public Services,13046
