Property Name,Portfolio Manager ID,Property Type - Self-Selected,Gross Floor Area,month,normalized_monthly_usage
R.C. Harris Water Treatment Plant,35000840,Utilities / Infrastructure,115368,2024-08-01,8372.94
R.C. Harris Water Treatment Plant,35000840,Utilities / Infrastructure,115368,2024-09-01,8876.13
R.C. Harris Water Treatment Plant,35000840,Utilities / Infrastructure,115368,2024-10-01,15724.26
R.C. Harris Water Treatment Plant,35000840,Utilities / Infrastructure,115368,2024-11-01,25621.4
R.C. Harris Water Treatment Plant,35000840,Utilities / Infrastructure,115368,2024-12-01,37081.81
R.L. Clark Water Treatment Plant,35000841,Utilities / Infrastructure,401612,2024-01-01,15114.74
R.L. Clark Water Treatment Plant,35000841,Utilities / Infrastructure,401612,2024-02-01,13238.08
R.L. Clark Water Treatment Plant,35000841,Utilities / Infrastructure,401612,2024-03-01,13584.29
R.L. Clark Water Treatment Plant,35000841,Utilities / Infrastructure,401612,2024-04-01,9748.71
R.L. Clark Water Treatment Plant,35000841,Utilities / Infrastructure,401612,2024-05-01,3928.14
R.L. Clark Water Treatment Plant,35000841,Utilities / Infrastructure,401612,2024-06-01,1875.41
R.L. Clark Water Treatment Plant,35000841,Utilities / Infrastructure,401612,2024-07-01,1937.92
R.L. Clark Water Treatment Plant,35000841,Utilities / Infrastructure,401612,2024-08-01,1937.92
R.L. Clark Water Treatment Plant,35000841,Utilities / Infrastructure,401612,2024-09-01,1944.8299999999997
R.L. Clark Water Treatment Plant,35000841,Utilities / Infrastructure,401612,2024-10-01,4494.96
